#node	date	numeric date
NODE_0000001	1997-04-11	1997.276321
NODE_0000288	1999-04-05	1999.259371
NODE_0000289	--	--
HQ392340.1_RVA/Human-wt/BEL/BE00038/2008/G1P8	--	--
NODE_0000290	--	--
JX027865.1_RVA/Human-wt/AUS/CK00087/2009/G1P8	--	--
JN706520.1_RVA/CU460-KK/09/2009	--	--
NODE_0000291	2004-11-20	2004.886109
NODE_0000292	--	--
KT223455.1_RVA/Human-wt/BEL/BE00058/1999/G1P8	--	--
NODE_0000293	--	--
KJ752287.1_RVA/Human-wt/GMB/MRC-DPRU3174/2010/G1P8	--	--
KC769352.1_RVA/Human-wt/AUS/CK00061/2007/G1P8	--	--
NODE_0000294	2008-06-17	2008.459024
KJ753074.1_RVA/Human-wt/CMR/MRC-DPRU3043/2009/G12P8	--	--
NODE_0000295	2008-11-05	2008.846904
LC056807.1_RVA/RVA/Human-wt/VNM/NT0643/2008/G3P8	--	--
NODE_0000297	--	--
JN258920.1_RVA/Human-wt/Bel/BE00097/2009/G1P8	--	--
KJ919618.1_RVA/Human-wt/HUN/ERN5040/2012/G1P8	--	--
NODE_0000298	2009-03-27	2009.233631
HQ392354.1_RVA/Human-wt/BEL/BE00039/2008/G1P8	--	--
NODE_0000299	2009-08-16	2009.622607
NODE_0000300	--	--
KJ412702.1_RVA/Human-wt/PRY/1692SR/2008/G1P8	--	--
JN849117.1_RVA/Human-wt/BEL/BE0258/2008/G12P8	--	--
NODE_0000302	--	--
NODE_0000303	--	--
KM116029.1_RVA/RVA/Human-wt/USA/2013774164/2013/G12P8	--	--
MF469201.1_RVA/Human-wt/USA/SSCRTV_00006/2013/G12P8	--	--
NODE_0000304	--	--
KX655531.1_RVA/Cow-wt/UGA/BUW-14-A035/2014/G12P8	--	--
KU048593.1_RVA/Hu-wt/ITA/PA93/12/2012/G12P8	--	--
MF469280.1_RVA/Human-wt/USA/SSCRTV_00023/2013/G12P8	--	--
NODE_0000306	2010-10-22	2010.807693
JX878641.2/RVA/Hu-wt/RUS/Novosibirsk/Nov12-N4489/2012/G12P8	2012-06-01	2012.416667
NODE_0000307	--	--
KT921094.1_RVA/Human-wt/USA/CNMC13/2011/G12P8	--	--
NODE_0000309	--	--
KJ753730.1_RVA/Human-wt/UGA/MRC-DPRU4620/2011/G12P8	--	--
MG181593.1_RVA/Human-wt/MWI/BID1LN/2013/G1P8	--	--
NODE_0000310	--	--
MH169512.1_RVA/Human-wt/CA-OB/3001026419/2017/G12P8	--	--
NODE_0000311	--	--
NODE_0000312	--	--
MK417781.1_RVA/Human-wt/ESP/SS96099331/2018/G12P8	--	--
MT633362.1_RVA/TO-013	--	--
NODE_0000313	--	--
KU048600.1_RVA/Hu-wt/ITA/RG179/13/2013/G12P8	--	--
NODE_0000314	--	--
MT462096.1_RVA/Human-wt/JPN/15664/2017/G12P8	--	--
MH169508.1_RVA/Human-wt/CA-OB/3000813460/2017/G12P8	--	--
NODE_0000316	2011-03-06	2011.177881
NODE_0000317	--	--
KT919230.1_RVA/Human-wt/USA/VU12-13-7/2013/G12P8	--	--
MT855172.1_RVA/Human-wt/ZAF/UFS-NGS-MRC-DPRU4357/2015/G1P8	--	--
NODE_0000318	2013-05-25	2013.396958
MN066757.1_RVA/Human-wt/IND/CMC_00048/2013/G9P8	--	--
MN304725.1_RVA/NGR_Ref/2018/P8	--	--
MG652330.1_RVA/Human-wt/DOM/3000503695/2014/G1P8	--	--
MN478699.1_RVA/Human-wt/USA/2014753181/2014/G1P8	--	--
NODE_0000322	2013-10-07	2013.766250
LC430883.1_RVA/Human-wt/IDN/STM453/2018/G3P8	--	--
NODE_0000323	--	--
LC477393.1_RVA/Human-wt/JPN/Tokyo17-21/2017/G3P8	--	--
MT381748.1_RVA/Human-wt/PAK601/2016/G1P8/	--	--
NODE_0000325	2014-02-18	2014.133407
RVA/Human-wt/KEN/KLF0815/2015/G1P8	2015-08-01	2015.582192
MH291325.1_RVA/Human-wt/KEN/3818/2017/G1P8	--	--
RVA/Human-wt/KEN/KLF0799/2015/G1P8	2015-07-05	2015.508219
NODE_0000336	2014-10-15	2014.786937
RVA/Human-wt/KEN/KLF0792/2015/G1P8	2015-06-27	2015.486301
NODE_0000337	2015-01-04	2015.009550
